text,intent
@AmazonHelp It says my account was reinstated. i tried my password and it still doesn't work. i reset the password again &amp; still it says it's incorrect,account_or_security
@AmazonHelp I can't log in to that link. It says my password is incorrect. Should I try resetting the password again?,account_or_security
@AmazonHelp Not able to retrieve the password. Would be kind of u to respond in medsage box,account_or_security
@AmazonHelp may I know how to reset my kindle device. I have forgotten my password and I am unable to open it,account_or_security
"@AmazonHelp Hello, I lost access to my account. I tried resetting the password 3 times now and it still says ""wrong password""",account_or_security
@AmazonHelp It keeps saying my password is incorrect but I know I'm using the right password. I called yesterday &amp; they said something about a hold.,account_or_security
@AmazonHelp This is one of yours though? And Amazon took measures to protect my account before I changed my password? https://t.co/a6Ug2mb67B,account_or_security
"@AmazonHelp Hello, can I have a person reply instead of a bot? I said ok getting two pages to login, one page to enter id, other for the password. I dont use two step verification.",account_or_security
@AmazonHelp how is someone that has had account hacked and had their email changed supposed to get help from amazon if you have to sign in to amazon account? Doesn’t make any sense.,account_or_security
@AmazonHelp I have forgot my Amazon account login password. Plz share your mail you. I'll share my details through mail.,account_or_security
"@AmazonHelp OKAY, now I get ""connection timed out"", does GFW play a part here? (I'm in China). Even though, why ""wrong password""?",account_or_security
@AmazonHelp I can't log into the Amazon account that it's linked with I no longer have access to the email address and so can't verify it. But both accounts are householded together and mine. Can I merge them?,account_or_security
"@AmazonHelp Received email from @115821 cancelling an order for ""security reasons"" and ""reinstating"" my account. Raised this with you by DM. After 48 hours (and no further responses from Amazon) still no word from Amazon security. Account security concerns? Not Amazon's problem.",account_or_security
@AmazonHelp No and I cannot contact anyone via the site because I cannot sign in. It will let me change my password but not use the password.,account_or_security
"@AmazonHelp GC order today cancelled TWICE by you even though I changed password as directed in response to 1st ""alert"". Guys - it was ME!!! Please help. Account now locked till tomorrow on CYBER MONDAY. HELP!",account_or_security
@AmazonHelp I don’t have a username and password because I don’t even have an account? Is there another way I can contact you,account_or_security
@AmazonHelp Unable to login. Changed password many times. It says wrong password.  Called amazon help from Friend's app. I was told that I will receive mail about my account issues in max 48 hours . 4 days passed since. account not active.,account_or_security
"@AmazonHelp yes, when I try to reset my password for amazon careers, an email should be sent with pwd reset link. I do not receive that email.",account_or_security
@AmazonHelp hi trying to set up a kindle fire with my existing amazon ac not working and despite me asking for password reset it getting any reset emails,account_or_security
@AmazonHelp Hi MJ. Yes I have even changed my password to all lower case and still get error at the bottom of the page,account_or_security
"@AmazonHelp @AmazonHelp reset the password of my account,if you want that but do the grace of sending the otp on phone number-+918884133898",account_or_security
@AmazonHelp No someone went into my account. How could they do that without knowing my email and password?,account_or_security
@AmazonHelp Yes I did receive mails. You had asked 24-48 hrs which already password. None of you mail said about solution of my issue except buying time,account_or_security
"@AmazonHelp I just reset my password. The website refused to accept it, then I see this. Amazon, what IS going on with my account?? https://t.co/3O1NMQ59xO",account_or_security
@AmazonHelp Somebody has hacked my account and changed my email and password. How can i fix this asap?,account_or_security
